"Pathway","DiD_logFC","DiD_P","DiD_FDR","Delta_logFC","Delta_P","Delta_FDR","LOPO_dir_consistent","LOPO_P_lt_0.05","LOPO_median_logFC","LOPO_min_logFC","LOPO_max_logFC","Direction_consistent","Abs_DiD_logFC","Abs_Delta_logFC"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",-0.7010619134811,0.0706012668910801,0.998866289809968,-0.7010619134811,0.00413061329849588,0.285420685691041,9,2,-0.716214230937528,-0.936684244254923,-0.352746507310196,TRUE,0.7010619134811,0.7010619134811
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",-0.639656378443963,0.0653112765180462,0.998866289809968,-0.639656378443963,0.00641413039047985,0.294390286115276,9,2,-0.638127739222983,-0.898485266628923,-0.299550860007177,TRUE,0.639656378443963,0.639656378443963
"REACTOME_THE_ACTIVATION_OF_ARYLSULFATASES",0.486401985625323,0.0436448746427033,0.998866289809968,0.486401985625322,0.00654720255061774,0.294390286115276,9,2,0.490799102993248,0.397787509394898,0.574860106592614,TRUE,0.486401985625323,0.486401985625322
"REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_TERMINATION",-0.496643557766631,0.0494589970380593,0.998866289809968,-0.496643557766631,0.0083208504882591,0.296397931252367,9,2,-0.473205229692884,-0.591135235664377,-0.446922981110032,TRUE,0.496643557766631,0.496643557766631
"REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB",0.54270884179002,0.0512046054952109,0.998866289809968,0.54270884179002,0.00850047218477491,0.296397931252367,9,2,0.528199731367621,0.447970078316264,0.63719900848576,TRUE,0.54270884179002,0.54270884179002
"REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO",0.545484604339927,0.0954516329542841,0.998866289809968,0.545484604339927,0.0162859508058756,0.388217886537009,9,2,0.520235047783446,0.352551754331402,0.781482649784421,TRUE,0.545484604339927,0.545484604339927
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",0.363495411674248,0.0562634484474045,0.998866289809968,0.363495411674248,0.0313659585309386,0.442465245106689,9,2,0.360801505154584,0.285294842447615,0.444389887420546,TRUE,0.363495411674248,0.363495411674248
"REACTOME_FGFRL1_MODULATION_OF_FGFR1_SIGNALING",-0.433933114561341,0.0507195659012365,0.998866289809968,-0.433933114561341,0.0334056599582179,0.447307192311501,9,2,-0.421176239048828,-0.529133752457424,-0.317294738917644,TRUE,0.433933114561341,0.433933114561341
"REACTOME_MATURATION_OF_SARS_COV_1_NUCLEOPROTEIN",0.480342254071463,0.101377808965942,0.998866289809968,0.480342254071463,0.0341076175233551,0.447307192311501,9,2,0.508369625246635,0.315753159872193,0.613692442536822,TRUE,0.480342254071463,0.480342254071463
"REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY",0.35086743609997,0.0696304749275825,0.998866289809968,0.35086743609997,0.0393299196926726,0.456328534195102,9,2,0.324169840631576,0.284975922090388,0.44374110889817,TRUE,0.35086743609997,0.35086743609997
