pathway,padj,NES,n_leadingEdge,leadingEdge_genes
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.005378619562135081,1.61400501926252,92,CXCL6;SPP1;ACTA2;CXCL8;RGS4;PTHLH;FBLN1;TPM2;COL11A1;ITGB3;PVR;NTM;CD44;IL32;POSTN;CXCL1;AREG;MATN3;SERPINE2;WIPF1;RHOB;FN1;CDH6;NID2;COL4A2;EDIL3;COL16A1;PMP22;COMP;COL5A1;CADM1;TGM2;ECM2;COL4A1;FBN2;BGN;FOXC2;CDH2;ITGB5;COL12A1;COL8A2;COL1A1;PDGFRB;GPC1;COL3A1;VEGFA;MFAP5;ADAM12;COL5A3;PRRX1;MYL9;CDH11;MMP1;PMEPA1;COL6A2;COL7A1;PCOLCE;TNFAIP3;COL1A2;DPYSL3;MGP;IL15;GADD45B;ITGA5;SPARC;TIMP3;SGCB;LOX;CXCL12;DAB2;TGFB1;ENO2;CALD1;MSX1;PLAUR;FAP;VCAN;FLNA;SERPINH1;PLOD1;VEGFC;IGFBP2;ECM1;TAGLN;MXRA5;INHBA;BASP1;CRLF1;JUN;NNMT;LUM;COL5A2
HALLMARK_INFLAMMATORY_RESPONSE,0.02868972663399587,1.458047006133444,71,ROS1;CXCL6;ACVR1B;FPR1;TACR1;ITGB8;NLRP3;CXCL8;SELE;CXCL11;LCP2;NPFFR2;ITGB3;LCK;PVR;NMUR1;LDLR;IL1B;APLNR;PTPRE;TLR3;MARCO;OLR1;VIP;CALCRL;IL1A;TNFSF15;PROK2;SELL;SGMS2;DCBLD2;CCRL2;ABI1;BTG2;KIF1B;CD40;TNFRSF9;PTAFR;CCL20;IL2RB;CCL5;CLEC5A;GABBR1;CCL22;PTGIR;SLAMF1;KLF6;IRF1;SCARF1;CSF3R;CD69;NAMPT;SLC28A2;GPC3;IL15;KCNA3;EREG;RIPK2;F3;PIK3R5;ITGA5;SLC7A2;CXCL9;CD70;CD48;SEMA4D;PTGER4;IL10RA;SCN1B;PLAUR;TNFSF9
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.07386753653108129,1.423943980208082,87,PML;FPR1;PTPN1;PTGS2;XCL1;RNF213;CXCL11;LCP2;OAS2;BATF2;VAMP5;CD38;PTPN2;SAMD9L;IL18BP;ISG20;PLSCR1;HLA-G;ITGB7;IRF5;RNF31;CSF2RB;TNFAIP2;CD40;NUP93;BANK1;JAK2;IL2RB;CCL5;SSPN;ZBP1;IRF1;FCGR1A;IRF2;HLA-B;CD69;PSMB9;NAMPT;TNFAIP3;SLAMF7;IL15;RIPK2;CXCL9;GPR18;IL10RA;GBP4;GZMA;IRF8;PSMB8;IFI44;SERPING1;FGL2;NLRC5;DDX60;PELI1;USP18;IFNAR2;SP110;SAMHD1;TRIM25;BPGM;TRAFD1;IDO1;XAF1;OAS3;CD274;LGALS3BP;OGFR;CXCL10;UBE2L6;APOL6;CD86;OASL;CCL2;TNFAIP6;CFH;CASP1;HLA-DQA1;ST3GAL5;IFI35;HLA-DMA;TAP1;ICAM1;CFB;PTPN6;VCAM1;HLA-A
HALLMARK_HEME_METABOLISM,0.08360425835933398,-1.4488695812033652,44,LMO2;ACSL6;ARHGEF12;FTCD;TFRC;IGSF3;ELL2;KLF1;GYPE;RHAG;TYR;ALAS2;RAP1GAP;HBZ;ASNS;TAL1;ICAM4;KEL;CA1;FBXO9;SLC25A37;TMCC2;GATA1;ANK1;EPB41;MGST3;NUDT4;RIOK3;SLC30A1;GCLC;CCND3;CROCCP2;TRIM58;OSBP2;ADD2;AQP3;GYPA;GAPVD1;TRIM10;SLC2A1;HBB;GYPB;E2F2;SMOX
