feature,GSM2242042_C1_edge_Week0.CEL,GSM2242043_C1_edge_Week1.CEL,GSM2242044_C2_edge_Week0.CEL,GSM2242045_C2_edge_Week1.CEL,GSM2242046_C3_edge_Week0.CEL,GSM2242047_C3_edge_Week1.CEL,GSM2242048_T1_edge_Week0.CEL,GSM2242049_T1_edge_Week1.CEL,GSM2242050_T2_edge_Week0.CEL,GSM2242051_T2_edge_Week1.CEL,GSM2242052_T3_edge_Week0.CEL,GSM2242053_T3_edge_Week1.CEL,GSM2242054_T4_edge_Week0.CEL,GSM2242055_T4_edge_Week1.CEL,GSM2242056_T5_edge_Week0.CEL,GSM2242057_T5_edge_Week1.CEL,GSM2242058_T6_edge_Week0.CEL,GSM2242059_T6_edge_Week1.CEL
HALLMARK_ADIPOGENESIS,-0.23221483312956223,0.037514385038109666,-0.17910808635587336,0.004964882342768123,0.3027613479034442,0.19029218196652586,0.06646790403446445,0.11223489951541721,0.20257610693254086,0.1304427070353356,-0.12761129759497195,-0.08077394756206141,-0.12313231135533262,-0.05082409709746444,0.08963702031897047,-0.08069121569495483,-0.10232502922855544,-0.1816835733711934
HALLMARK_ALLOGRAFT_REJECTION,-0.35893701781100684,-0.08051960713242418,0.3912108196088538,0.2830319264490988,0.11582286630112165,0.1724254905220538,-0.3127741761781324,-0.09071030797659496,0.09935676005956057,0.24852372014902646,-0.39659784917278795,-0.1833367370527256,-0.16942916964077342,0.5065798759656777,-0.3084488704040636,0.11993448647353394,-0.29171600400230324,0.14111047425955303
HALLMARK_ANDROGEN_RESPONSE,0.023369794312088132,0.25546346860883185,-0.1521061275518731,-0.036927367104206577,0.3175159781271312,0.30618826773386937,-0.04087355060906994,-0.04971577189618043,0.20104106065194938,0.09523844729608022,-0.12981100208711618,-0.06696524683421784,-0.20604945625982005,0.17417024873869402,0.10972182792280566,-0.1546147311452964,-0.2986309385637683,0.011631567234086593
HALLMARK_ANGIOGENESIS,-0.10633300634667064,-0.1998700917718761,0.027500277499811043,-0.27138020964347076,0.01659210876651196,0.17889605526393731,-0.27188323942752557,-0.4194133428181856,-0.227081456145327,-0.19110464976064706,0.005453788578717922,0.11254731540760571,-0.09608404897428413,0.4353180209325527,0.11466408002925632,0.44521351670803533,-0.061751431810067536,0.48304183268244816
HALLMARK_APICAL_JUNCTION,-0.06384427241633317,-0.1950960636688102,-0.30175609482232957,-0.15085189411122368,0.32763410886768746,0.1327113377334828,-0.04589860800850229,-0.08575520151300095,-0.3157142889870782,-0.1861044841247979,0.10839562561676125,0.2103811661986401,0.13724649678193301,0.3558541209114264,0.08416831819737502,0.016039407248251536,-0.001033761945845979,0.20308471927561017
HALLMARK_APICAL_SURFACE,-0.21767985783891197,-0.18775332362835892,-0.3385320277906008,-0.30776703235786756,0.17883317002274843,-0.03040829103449061,-0.009467784101204885,0.06587389124273912,0.022970408337192355,0.12191618757284056,0.07354814981935598,0.13761284122065476,0.12845320061851817,0.3599994915591706,-0.08206424012731214,-0.16858902512925628,0.08735520342124628,0.16866933590788835
HALLMARK_APOPTOSIS,-0.13510563865336894,-0.006389490451559898,-0.1448676472817852,-0.06686534058073179,0.0723984586209796,0.11804353808449047,-0.019981128577878177,0.07334488831901062,-0.04098944604594232,0.1666768717866246,-0.21072407053112172,-0.030340383041356833,-0.08803498045028385,0.45662316861430113,-0.0150380323616221,0.015287498506523,-0.27491870890743075,0.16015680092013065
HALLMARK_BILE_ACID_METABOLISM,-0.15145582359847423,-0.2145134643283912,-0.04659161717712784,0.1712999657733208,0.12300538595679367,0.08750804309582891,0.08960056668450284,0.15031627808241615,0.09661378671044665,0.1807113337857404,0.06663924775767807,-0.045789870295157686,-0.05185609361966681,-0.0479146787742365,0.19706382777142287,-0.06662138371316897,-0.021619414288902405,-0.24630601197204904
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.20484654219028015,-0.04596891362091815,-0.2670454226998981,-0.2901023080291522,0.22633035602983645,0.03170265626995439,-0.08997003470806442,0.28395086286448795,0.14855225926564442,0.25185523661094866,-0.24187174013211454,0.22781365262098258,-0.09276252656165276,0.1661041254922297,-0.13358738211065005,-0.29656957331000006,0.08428134277692823,0.1842987534341128
HALLMARK_COAGULATION,-0.23862479275110804,-0.2687552693198412,-0.2522738049017933,0.00413380846618952,0.0822713062741029,0.3268738258576356,-0.3413890117532008,-0.3365672304367372,-0.23571111839620298,-0.07604026895159288,-0.07919971342493065,0.07589347377520575,-0.033470411499364805,0.3658149617068798,0.16738803868408703,0.26895112878115013,0.1610805957702997,0.2140682210317157
